,Date,Site,parameter,o3,co,so2,no2,pm10
0,2019-01-01,170310022,81102,,,,,17.208333
1,2019-01-01,170310076,42401,,,0.883333,,
2,2019-01-01,170311016,81102,,,,,11.375
3,2019-01-01,170313103,42602,,,,11.417391,
4,2019-01-01,170314002,42602,,,,11.3375,
5,2019-01-01,170314201,44201,0.024792,,,,
6,2019-01-02,170310022,81102,,,,,33.625
7,2019-01-02,170310076,42401,,,0.945833,,
8,2019-01-02,170311016,81102,,,,,21.625
9,2019-01-02,170313103,42602,,,,18.004167,
10,2019-01-02,170314002,42602,,,,15.904167,
11,2019-01-02,170314201,44201,0.014609,,,,
12,2019-01-03,170310022,81102,,,,,38.083333
13,2019-01-03,170310076,42401,,,1.070833,,
14,2019-01-03,170311016,81102,,,,,25.458333
15,2019-01-03,170313103,42602,,,,15.426087,
16,2019-01-03,170314002,42602,,,,15.825,
17,2019-01-03,170314201,44201,0.012417,,,,
18,2019-01-04,170310022,81102,,,,,44.625
19,2019-01-04,170310076,42401,,,1.741667,,
20,2019-01-04,170311016,81102,,,,,31.416667
21,2019-01-04,170313103,42602,,,,23.766667,
22,2019-01-04,170314002,42602,,,,21.2,
23,2019-01-04,170314201,44201,0.0095,,,,
24,2019-01-05,170310022,81102,,,,,33.208333
25,2019-01-05,170310076,42401,,,1.375,,
26,2019-01-05,170311016,81102,,,,,23.791667
27,2019-01-05,170313103,42602,,,,21.365217,
28,2019-01-05,170314002,42602,,,,18.25,
29,2019-01-05,170314201,44201,0.011917,,,,
30,2019-01-06,170310022,81102,,,,,17.25
31,2019-01-06,170310076,42401,,,0.875,,
32,2019-01-06,170311016,81102,,,,,12.791667
33,2019-01-06,170313103,42602,,,,10.283333,
34,2019-01-06,170314002,42602,,,,10.641667,
35,2019-01-06,170314201,44201,0.031083,,,,
36,2019-01-07,170310022,81102,,,,,18.041667
37,2019-01-07,170310076,42401,,,1.041667,,
38,2019-01-07,170311016,81102,,,,,17.208333
39,2019-01-07,170313103,42602,,,,13.682609,
40,2019-01-07,170314002,42602,,,,11.925,
41,2019-01-07,170314201,44201,0.019125,,,,
42,2019-01-08,170310022,81102,,,,,26.458333
43,2019-01-08,170310076,42401,,,1.165217,,
44,2019-01-08,170311016,81102,,,,,20.125
45,2019-01-08,170313103,42602,,,,16.658333,
46,2019-01-08,170314002,42602,,,,9.941667,
47,2019-01-08,170314201,44201,0.019208,,,,
48,2019-01-09,170310022,81102,,,,,26.047619
49,2019-01-09,170310076,42401,,,0.833333,,
50,2019-01-09,170311016,81102,,,,,16.583333
51,2019-01-09,170313103,42602,,,,13.142857,
52,2019-01-09,170314002,42602,,,,9.033333,
53,2019-01-09,170314201,44201,0.024833,,,,
54,2019-01-10,170310022,81102,,,,,41.391304
55,2019-01-10,170310076,42401,,,1.5,,
56,2019-01-10,170311016,81102,,,,,27.75
57,2019-01-10,170313103,42602,,,,25.516667,
58,2019-01-10,170314002,42602,,,,22.679167,
59,2019-01-10,170314201,44201,0.020458,,,,
60,2019-01-11,170310022,81102,,,,,33.958333
61,2019-01-11,170310076,42401,,,1.079167,,
62,2019-01-11,170311016,81102,,,,,44.833333
63,2019-01-11,170313103,42602,,,,29.06087,
64,2019-01-11,170314002,42602,,,,25.795455,
65,2019-01-11,170314201,44201,0.007875,,,,
66,2019-01-12,170310022,81102,,,,,34.454545
67,2019-01-12,170310076,42401,,,1.741667,,
68,2019-01-12,170311016,81102,,,,,26.666667
69,2019-01-12,170313103,42602,,,,18.758333,
70,2019-01-12,170314002,42602,,,,14.9125,
71,2019-01-12,170314201,44201,0.021042,,,,
72,2019-01-13,170310022,81102,,,,,14.727273
73,2019-01-13,170310076,42401,,,0.85,,
74,2019-01-13,170311016,81102,,,,,11.791667
75,2019-01-13,170313103,42602,,,,10.582609,
76,2019-01-13,170314002,42602,,,,11.625,
77,2019-01-13,170314201,44201,0.035375,,,,
78,2019-01-14,170310022,81102,,,,,35.954545
79,2019-01-14,170310076,42401,,,1.15,,
80,2019-01-14,170311016,81102,,,,,23.583333
81,2019-01-14,170313103,42602,,,,18.158333,
82,2019-01-14,170314002,42602,,,,16.254167,
83,2019-01-14,170314201,44201,0.030833,,,,
84,2019-01-15,170310022,81102,,,,,27.208333
85,2019-01-15,170310076,42401,,,0.795652,,
86,2019-01-15,170311016,81102,,,,,18.166667
87,2019-01-15,170313103,42602,,,,15.969565,
88,2019-01-15,170314002,42602,,,,11.3875,
