id,short_name,full_name,eng_name
170311016,vh,Village Hall,50TH ST. AND GLENCOE
170310022,wh,Washington High School,3535 E. 114TH ST 
170314201,nb,Northbrook Water Plant,750 DUNDEE ROAD
170310076,ce,Com Ed Maintenance,7801 LAWNDALE
170317002,wp,Water Plant,561 E. LINCOLN
170314007,ob,Regional Office Building,9511 W. HARRISON ST
170314002,cc,Cook County Trailer,1820 S. 51ST AVE.
170311601,cd,Cook Country Trailer,729 HOUSTON
170310032,sw,South Water Filtration,3300 E. CHELTENHAM PL.
170310001,vg,Village Garage,4500 W. 123RD ST.
170311003,th,TAFT HS,6545 W. HURLBUT ST.
