"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"01/01/2018","AQS","170310001","1","0.029","ppm","27","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.029"
"01/02/2018","AQS","170310001","1","0.025","ppm","23","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.025"
"01/03/2018","AQS","170310001","1","0.024","ppm","22","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.024"
"01/04/2018","AQS","170310001","1","0.026","ppm","24","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.026"
"01/05/2018","AQS","170310001","1","0.027","ppm","25","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.027"
"01/06/2018","AQS","170310001","1","0.026","ppm","24","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.026"
"01/07/2018","AQS","170310001","1","0.026","ppm","24","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.026"
"01/08/2018","AQS","170310001","1","0.024","ppm","22","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.024"
"01/09/2018","AQS","170310001","1","0.011","ppm","10","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.011"
"01/10/2018","AQS","170310001","1","0.028","ppm","26","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.028"
"01/11/2018","AQS","170310001","1","0.021","ppm","19","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.021"
"01/12/2018","AQS","170310001","1","0.033","ppm","31","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.033"
"01/13/2018","AQS","170310001","1","0.029","ppm","27","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.029"
"01/14/2018","AQS","170310001","1","0.029","ppm","27","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.029"
"01/15/2018","AQS","170310001","1","0.02","ppm","19","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.02"
"01/16/2018","AQS","170310001","1","0.005","ppm","5","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.005"
"01/17/2018","AQS","170310001","1","0.024","ppm","22","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.024"
"01/18/2018","AQS","170310001","1","0.023","ppm","21","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.023"
"01/19/2018","AQS","170310001","1","0.026","ppm","24","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.026"
"01/20/2018","AQS","170310001","1","0.025","ppm","23","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.025"
"01/21/2018","AQS","170310001","1","0.013","ppm","12","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.013"
"01/22/2018","AQS","170310001","1","0.029","ppm","27","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.029"
"01/23/2018","AQS","170310001","1","0.029","ppm","27","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.029"
"01/24/2018","AQS","170310001","1","0.023","ppm","21","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.023"
"01/25/2018","AQS","170310001","1","0.02","ppm","19","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.02"
"01/26/2018","AQS","170310001","1","0.038","ppm","35","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.038"
"01/27/2018","AQS","170310001","1","0.03","ppm","28","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.03"
"01/28/2018","AQS","170310001","1","0.028","ppm","26","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.028"
"01/29/2018","AQS","170310001","1","0.026","ppm","24","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.026"
"01/30/2018","AQS","170310001","1","0.028","ppm","26","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.028"
"01/31/2018","AQS","170310001","1","0.021","ppm","19","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.021"
"02/01/2018","AQS","170310001","1","0.029","ppm","27","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.029"
"02/02/2018","AQS","170310001","1","0.03","ppm","28","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.03"
"02/03/2018","AQS","170310001","1","0.026","ppm","24","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.026"
"02/04/2018","AQS","170310001","1","0.033","ppm","31","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.033"
"02/05/2018","AQS","170310001","1","0.03","ppm","28","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.03"
"02/06/2018","AQS","170310001","1","0.02","ppm","19","VILLAGE GARAGE","17","100.0000","44201","Ozone","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6709918952829","-87.7324568962847",".","0.02"
