,Date,Site,parameter,o3,co,so2,no2,pm10
0,2018-01-01,170310001,44201,0.029,,,,
1,2018-01-01,170310076,44201,0.027,,,,
2,2018-01-01,170311016,81102,,,,,18.0
3,2018-01-01,170311601,44201,0.027,,,,
4,2018-01-01,170313103,44201,0.025,,,,
5,2018-01-01,170314002,44201,0.031,,,,
6,2018-01-01,170314201,44201,0.029,,,,
7,2018-01-02,170310001,44201,0.025,,,,
8,2018-01-02,170310076,44201,0.024,,,,
9,2018-01-02,170311016,81102,,,,,34.0
10,2018-01-02,170311601,44201,0.026,,,,
11,2018-01-02,170313103,44201,0.022,,,,
12,2018-01-02,170314002,44201,0.026,,,,
13,2018-01-02,170314201,44201,0.03,,,,
14,2018-01-03,170310001,44201,0.024,,,,
15,2018-01-03,170310076,44201,0.02,,,,
16,2018-01-03,170311016,81102,,,,,25.0
17,2018-01-03,170311601,44201,0.026,,,,
18,2018-01-03,170313103,44201,0.02,,,,
19,2018-01-03,170314002,44201,0.026,,,,
20,2018-01-03,170314201,44201,0.029,,,,
21,2018-01-04,170310001,44201,0.026,,,,
22,2018-01-04,170310022,81102,,,,,36.0
23,2018-01-04,170310076,44201,0.023,,,,
24,2018-01-04,170311016,81102,,,,,29.0
25,2018-01-04,170311601,44201,0.028,,,,
26,2018-01-04,170313103,44201,0.026,,,,
27,2018-01-04,170314002,44201,0.031,,,,
28,2018-01-04,170314201,44201,0.033,,,,
29,2018-01-05,170310001,44201,0.027,,,,
30,2018-01-05,170310022,81102,,,,,38.0
31,2018-01-05,170310076,44201,0.025,,,,
32,2018-01-05,170311016,81102,,,,,25.0
33,2018-01-05,170311601,44201,0.028,,,,
34,2018-01-05,170313103,44201,0.025,,,,
35,2018-01-05,170314002,42602,,,,43.4,
36,2018-01-05,170314201,44201,0.033,,,,
37,2018-01-06,170310001,44201,0.026,,,,
38,2018-01-06,170310022,81102,,,,,40.0
39,2018-01-06,170310076,44201,0.023,,,,
40,2018-01-06,170311016,81102,,,,,23.0
41,2018-01-06,170311601,44201,0.03,,,,
42,2018-01-06,170313103,44201,0.023,,,,
43,2018-01-06,170314002,44201,0.029,,,,
44,2018-01-06,170314201,44201,0.034,,,,
45,2018-01-07,170310001,44201,0.026,,,,
46,2018-01-07,170310076,44201,0.023,,,,
47,2018-01-07,170311016,81102,,,,,25.0
48,2018-01-07,170311601,44201,0.025,,,,
49,2018-01-07,170313103,44201,0.018,,,,
50,2018-01-07,170314002,44201,0.022,,,,
51,2018-01-07,170314201,44201,0.024,,,,
52,2018-01-08,170310001,44201,0.024,,,,
53,2018-01-08,170310076,44201,0.024,,,,
54,2018-01-08,170311016,81102,,,,,22.0
55,2018-01-08,170311601,44201,0.025,,,,
56,2018-01-08,170313103,44201,0.02,,,,
57,2018-01-08,170314002,44201,0.027,,,,
58,2018-01-08,170314201,44201,0.028,,,,
59,2018-01-09,170310001,44201,0.011,,,,
60,2018-01-09,170310076,44201,0.008,,,,
61,2018-01-09,170311016,81102,,,,,29.0
62,2018-01-09,170311601,44201,0.013,,,,
63,2018-01-09,170313103,44201,0.003,,,,
64,2018-01-09,170314002,44201,0.008,,,,
65,2018-01-09,170314201,44201,0.007,,,,
66,2018-01-10,170310001,44201,0.028,,,,
67,2018-01-10,170310076,44201,0.028,,,,
68,2018-01-10,170311016,81102,,,,,14.0
69,2018-01-10,170311601,44201,0.026,,,,
70,2018-01-10,170313103,44201,0.022,,,,
71,2018-01-10,170314002,44201,0.029,,,,
72,2018-01-10,170314201,44201,0.026,,,,
73,2018-01-11,170310001,44201,0.021,,,,
74,2018-01-11,170310076,44201,0.021,,,,
75,2018-01-11,170311016,81102,,,,,5.0
76,2018-01-11,170311601,44201,0.02,,,,
77,2018-01-11,170313103,44201,0.019,,,,
78,2018-01-11,170314002,44201,0.022,,,,
79,2018-01-11,170314201,44201,0.023,,,,
80,2018-01-12,170310001,44201,0.033,,,,
81,2018-01-12,170310076,44201,0.029,,,,
82,2018-01-12,170311016,81102,,,,,14.0
83,2018-01-12,170311601,44201,0.032,,,,
84,2018-01-12,170313103,44201,0.029,,,,
85,2018-01-12,170314002,44201,0.035,,,,
86,2018-01-12,170314201,44201,0.036,,,,
87,2018-01-13,170310001,44201,0.029,,,,
88,2018-01-13,170310076,44201,0.026,,,,
89,2018-01-13,170311016,81102,,,,,15.0
90,2018-01-13,170311601,44201,0.029,,,,
91,2018-01-13,170313103,44201,0.025,,,,
92,2018-01-13,170314002,44201,0.032,,,,
93,2018-01-13,170314201,44201,0.031,,,,
94,2018-01-14,170310001,44201,0.029,,,,
95,2018-01-14,170310076,44201,0.027,,,,
96,2018-01-14,170311016,81102,,,,,18.0
97,2018-01-14,170311601,44201,0.028,,,,
98,2018-01-14,170313103,44201,0.026,,,,
99,2018-01-14,170314002,44201,0.029,,,,
100,2018-01-14,170314201,44201,0.027,,,,
101,2018-01-15,170310001,44201,0.02,,,,
102,2018-01-15,170310076,44201,0.02,,,,
103,2018-01-15,170311016,81102,,,,,17.0
104,2018-01-15,170311601,44201,0.023,,,,
105,2018-01-15,170313103,44201,0.014,,,,
106,2018-01-15,170314002,44201,0.022,,,,
107,2018-01-15,170314201,44201,0.019,,,,
108,2018-01-16,170310001,44201,0.005,,,,
109,2018-01-16,170310076,44201,0.021,,,,
110,2018-01-16,170311016,81102,,,,,17.0
111,2018-01-16,170311601,44201,0.026,,,,
112,2018-01-16,170313103,44201,0.016,,,,
113,2018-01-16,170314002,44201,0.03,,,,
114,2018-01-16,170314201,44201,0.032,,,,
115,2018-01-17,170310001,44201,0.024,,,,
116,2018-01-17,170310076,44201,0.023,,,,
117,2018-01-17,170311016,81102,,,,,38.0
118,2018-01-17,170311601,44201,0.024,,,,
119,2018-01-17,170313103,44201,0.019,,,,
120,2018-01-17,170314002,44201,0.028,,,,
121,2018-01-17,170314201,44201,0.029,,,,
122,2018-01-18,170310001,44201,0.023,,,,
123,2018-01-18,170310076,44201,0.023,,,,
124,2018-01-18,170311016,81102,,,,,43.0
125,2018-01-18,170311601,44201,0.025,,,,
126,2018-01-18,170313103,44201,0.018,,,,
127,2018-01-18,170314002,44201,0.025,,,,
128,2018-01-18,170314201,44201,0.025,,,,
129,2018-01-19,170310001,44201,0.026,,,,
130,2018-01-19,170310022,81102,,,,,28.0
131,2018-01-19,170310076,44201,0.024,,,,
132,2018-01-19,170311016,81102,,,,,35.0
133,2018-01-19,170311601,44201,0.024,,,,
134,2018-01-19,170313103,44201,0.019,,,,
135,2018-01-19,170314002,42602,,,,29.9,
136,2018-01-19,170314201,44201,0.02,,,,
137,2018-01-20,170310001,44201,0.025,,,,
138,2018-01-20,170310022,81102,,,,,23.0
139,2018-01-20,170310076,44201,0.024,,,,
140,2018-01-20,170311016,81102,,,,,23.0
141,2018-01-20,170311601,44201,0.025,,,,
142,2018-01-20,170313103,44201,0.017,,,,
143,2018-01-20,170314002,44201,0.022,,,,
144,2018-01-20,170314201,44201,0.018,,,,
145,2018-01-21,170310001,44201,0.013,,,,
146,2018-01-21,170310022,81102,,,,,19.0
147,2018-01-21,170310076,44201,0.01,,,,
148,2018-01-21,170311016,81102,,,,,22.0
149,2018-01-21,170311601,44201,0.018,,,,
150,2018-01-21,170313103,44201,0.005,,,,
151,2018-01-21,170314002,44201,0.005,,,,
152,2018-01-21,170314201,44201,0.005,,,,
153,2018-01-22,170310001,44201,0.029,,,,
154,2018-01-22,170310022,81102,,,,,8.0
155,2018-01-22,170310076,44201,0.029,,,,
156,2018-01-22,170311016,81102,,,,,8.0
157,2018-01-22,170311601,44201,0.028,,,,
158,2018-01-22,170313103,44201,0.018,,,,
159,2018-01-22,170314002,44201,0.023,,,,
160,2018-01-22,170314201,44201,0.024,,,,
161,2018-01-23,170310001,44201,0.029,,,,
162,2018-01-23,170310022,81102,,,,,8.0
163,2018-01-23,170310076,44201,0.026,,,,
164,2018-01-23,170311016,81102,,,,,9.0
165,2018-01-23,170311601,44201,0.029,,,,
166,2018-01-23,170313103,44201,0.024,,,,
167,2018-01-23,170314002,44201,0.029,,,,
168,2018-01-23,170314201,44201,0.026,,,,
169,2018-01-24,170310001,44201,0.023,,,,
170,2018-01-24,170310022,81102,,,,,15.0
171,2018-01-24,170310076,44201,0.022,,,,
