,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,yar-sale,76,ru,1528012276,100,70.72,69.51,33.24,21.61
1,hithadhoo,12,mv,1528012276,100,-18.28,77.53,76.62,17.25
2,taolanaro,92,mg,1528012276,97,-65.85,69.17,8.22,16.8
3,yellowknife,68,ca,1528012276,90,75.99,-104.42,24.24,7.63
4,banjar,75,id,1528011000,69,-10.67,106.18,80.6,10.29
5,santa maria,8,cv,1528012277,100,21.87,-22.37,69.06,20.04
6,cape town,88,za,1528012277,99,-62.66,-10.29,28.38,26.31
7,esperance,0,au,1528012277,22,-27.44,122.77,66.36,2.93
8,troitsko-pechorsk,56,ru,1528012277,57,62.93,57.11,43.86,7.63
9,barrow,8,us,1528012278,79,74.17,-154.45,24.06,8.3
10,punta arenas,48,cl,1528012278,100,-66.81,-88.93,12.36,16.69
11,balkhash,92,kz,1528012278,56,45.78,76.33,63.57,8.97
12,anadyr,92,ru,1528012278,98,63.76,176.09,36.03,13.78
13,bredasdorp,12,za,1528012278,0,-88.96,14.37,-43.99,18.7
14,ushuaia,92,ar,1528012279,96,-54.70,-50.83,40.62,26.53
15,sentyabrskiy,0,ru,1528012279,97,40.00,156.79,56.91,6.96
16,chuy,36,uy,1528012279,100,-55.85,-31.68,29.19,29.89
17,butaritari,64,ki,1528012279,100,26.41,170.20,77.34,18.37
18,sabla,0,bg,1528012279,100,43.44,29.42,66.0,7.63
19,hermanus,88,za,1528012280,95,-65.10,2.15,29.91,15.79
20,busselton,32,au,1528012280,35,-87.14,86.95,-31.57,34.25
21,lolua,32,tv,1528012280,100,-6.02,176.89,84.27,12.77
22,tuktoyaktuk,64,ca,1528012280,100,89.05,-139.42,23.52,12.55
23,balkanabat,56,tm,1528012281,94,39.24,53.50,73.2,16.35
24,olafsvik,68,is,1528012281,99,63.03,-27.12,45.03,18.7
25,arraial do cabo,44,br,1528012281,100,-38.79,-34.70,55.92,17.25
26,kasempa,0,zm,1528012281,58,-13.89,26.35,73.56,10.76
27,puerto ayora,48,ec,1528012281,100,-17.09,-100.92,71.4,15.46
28,mahebourg,56,mu,1528012282,100,-39.32,70.25,53.49,5.84
29,new norfolk,36,au,1528012282,98,-52.55,135.54,41.16,29.55
30,coromandel,20,br,1528012282,75,-18.59,-47.18,55.47,2.82
31,mataura,0,pf,1528012282,0,-80.39,-141.94,-31.21,15.68
32,fortuna,92,us,1528012282,100,32.06,-138.55,64.11,10.76
33,karamay,48,cn,1528012283,79,45.97,84.02,55.47,9.19
34,salalah,88,om,1528012283,99,14.47,61.20,84.54,18.92
35,koslan,92,ru,1528012283,64,63.79,49.42,46.29,3.71
36,itarema,68,br,1528012283,100,4.19,-36.64,77.25,8.75
37,kibi,80,gh,1528012283,94,6.27,-0.70,78.6,4.16
38,dikson,8,ru,1528012284,94,85.43,79.61,24.69,2.15
39,kloulklubed,76,pw,1528012284,100,6.83,132.98,85.44,22.62
40,novyy yegorlyk,0,ru,1528012284,34,46.34,41.89,75.54,12.21
41,cam pha,0,vn,1528012284,100,20.37,107.63,86.61,10.98
42,avarua,88,ck,1528012284,100,-42.29,-159.86,54.48,22.5
43,alyangula,0,au,1528012285,92,-13.16,136.04,77.79,12.66
44,villa bruzual,100,ve,1528012285,99,8.68,-68.57,73.92,3.71
45,illapel,64,cl,1528012285,100,-31.20,-71.84,52.68,19.04
46,uwayl,0,sd,1528012285,73,9.40,26.45,89.76,7.18
47,lasa,92,cn,1528012286,37,31.33,87.81,43.05,6.73
48,honavar,92,in,1528012286,100,13.93,73.90,79.77,7.4
49,castro,80,cl,1528012286,97,-54.31,-104.32,41.97,41.41
50,rikitea,8,pf,1528012286,0,-81.75,-126.46,-32.11,13.78
51,pringsewu,44,id,1528012286,100,-5.15,104.08,84.63,7.18
52,agirish,92,ru,1528012287,80,63.93,62.47,36.66,8.19
53,barentsburg,80,sj,1528012287,100,77.48,1.61,35.22,18.7
54,menongue,0,ao,1528012287,33,-14.45,18.64,75.9,4.94
55,kholm,64,ru,1528012287,47,59.25,33.02,71.94,7.85
56,emba,0,kz,1528012287,33,48.36,59.10,68.16,27.09
57,bengkulu,8,id,1528012288,100,-10.74,98.74,83.1,10.09
58,sao borja,0,br,1528012288,95,-28.93,-55.77,37.56,7.52
59,lundazi,0,zm,1528012288,34,-12.15,32.72,78.87,8.52
